iter	PRAUC	Logloss
0	0.4792305203	0.5910541778
1	0.4524269396	0.5105111253
2	0.4510451027	0.4446277795
3	0.4500805363	0.3925929453
4	0.4504153829	0.3517524273
5	0.4508531351	0.3174139901
6	0.4518624334	0.2906657692
7	0.4517110681	0.2712069292
8	0.4519912953	0.2544498943
9	0.4525732318	0.2414307195
10	0.4528019136	0.2320812662
11	0.4529548688	0.2244446414
12	0.4527668211	0.2183279593
13	0.4530729218	0.2133345624
14	0.4530014371	0.2094689372
15	0.4529060212	0.2060939427
16	0.4529835151	0.2034107679
17	0.4529583537	0.2010973591
18	0.4528610867	0.1992371815
19	0.4529469633	0.1974312769
20	0.4529464598	0.1959843822
21	0.4530448592	0.1948356867
22	0.453067821	0.1939568359
23	0.4530375566	0.1929899214
24	0.4531579476	0.1922405071
25	0.4534189411	0.1915873862
26	0.4534048187	0.1909858423
27	0.4539222175	0.1904998677
28	0.4539209066	0.190065166
29	0.4539177506	0.1896277235
30	0.4539125235	0.1892582666
31	0.4539000991	0.1888978406
32	0.4542680951	0.1885945769
33	0.4540906422	0.188225058
34	0.4545143237	0.1879492073
35	0.4545079123	0.1877117392
36	0.4548795624	0.1874669607
37	0.454883706	0.1872625512
38	0.4551554824	0.187046027
39	0.4551411035	0.1867703732
40	0.4552110978	0.1865683658
41	0.4552119743	0.1863899699
42	0.4551204404	0.1861661235
43	0.4551217992	0.1860201462
44	0.455166595	0.1858707252
45	0.455114605	0.1857546586
46	0.4551870555	0.1856190754
47	0.455466205	0.1855249033
48	0.4555494834	0.1854061006
49	0.4555599784	0.1853146177
50	0.4555795182	0.1852372305
51	0.4555848194	0.1851538681
52	0.4555760693	0.1850821827
53	0.4555348632	0.1849359414
54	0.4555788062	0.1848775495
55	0.4555662129	0.1847940053
56	0.4555690385	0.1846583317
57	0.4555077046	0.1846113598
58	0.455602429	0.1845300377
59	0.4556032677	0.1844588503
60	0.4556624803	0.1844199308
61	0.455719923	0.1843771219
62	0.4559150892	0.1843078135
63	0.4561173346	0.1842166989
64	0.4562241062	0.1841782738
65	0.4562640328	0.1841274317
66	0.4562922483	0.1840998703
67	0.4564313026	0.1840490366
68	0.456400719	0.1839616703
69	0.456403751	0.1839041515
70	0.4564364481	0.183867231
71	0.4566086945	0.1838442729
72	0.4566043412	0.1838268496
73	0.4566434102	0.1838031239
74	0.4567760684	0.1837812973
75	0.4571375074	0.1837639372
76	0.4572194313	0.1837387802
77	0.4573840409	0.1837127745
78	0.4573846092	0.1836997825
79	0.457368879	0.1836858005
80	0.4575079031	0.1836599135
81	0.4578280725	0.1836482229
82	0.4578951883	0.1836295228
83	0.4578829232	0.1836138602
84	0.4579134578	0.183566912
85	0.4579173226	0.1835581841
86	0.4579208422	0.1835461357
87	0.4580156979	0.1835168497
88	0.4584413936	0.1835052662
89	0.4584163811	0.1834964517
90	0.458562862	0.1834900878
91	0.4593478493	0.1834795618
92	0.4593467106	0.1834750369
93	0.459589594	0.1834612707
94	0.459731373	0.1834540536
95	0.4599743176	0.1834463327
96	0.4599757889	0.183442385
97	0.4601471643	0.1834284719
98	0.4605664301	0.1834056429
99	0.4611646656	0.1833901567
100	0.4612554427	0.1833659038
101	0.4616857017	0.183342127
102	0.4619133482	0.1833277863
103	0.4620654675	0.1832900913
104	0.462124364	0.1832612545
105	0.462257925	0.1832310902
106	0.4622909436	0.1832145607
107	0.4625242672	0.1832080451
108	0.4627233829	0.1832016783
109	0.462873456	0.183183259
110	0.4628528533	0.1831621461
111	0.4629905399	0.1831536177
112	0.4631557336	0.183132499
113	0.4632001722	0.1831051596
114	0.4633907404	0.1831016216
115	0.4639732608	0.1830939984
116	0.4643026424	0.1830897592
117	0.4645984628	0.183081624
118	0.4649560947	0.1830787408
119	0.4651277247	0.1830539195
120	0.4656224054	0.1830500581
121	0.4660213291	0.1830290748
122	0.4661497747	0.1830095105
123	0.4662765395	0.1829886826
124	0.4674216738	0.1829828646
125	0.4678220174	0.1829789092
126	0.4680030059	0.1829747351
127	0.4681631087	0.1829604472
128	0.4683810623	0.1829558664
129	0.4690081804	0.1829494886
130	0.4696670669	0.1829419493
131	0.4700386745	0.1829295839
132	0.4704333119	0.1829113133
133	0.4704341695	0.1829002846
134	0.4709197998	0.1828958501
135	0.4709811432	0.1828848464
136	0.4720624807	0.1828770563
137	0.4721560584	0.1828734722
138	0.4729077615	0.1828678131
139	0.4731242252	0.1828561678
140	0.4746553445	0.1828463848
141	0.4749987142	0.1828432836
142	0.4752380452	0.1828386238
143	0.4753487101	0.1828291486
144	0.4760657252	0.1828222877
145	0.4761411341	0.1828123899
146	0.4766260322	0.1828079018
147	0.4766696703	0.18280265
148	0.4771822927	0.1827985369
149	0.4779445154	0.1827895169
150	0.4791356767	0.1827799271
151	0.479844428	0.1827721774
152	0.480628166	0.1827652563
153	0.4810095578	0.1827617224
154	0.4818041746	0.1827542347
155	0.4823521747	0.1827446232
156	0.4827677774	0.1827389653
157	0.4831937254	0.1827327972
158	0.4841465673	0.182724922
159	0.4850285297	0.1827173534
160	0.485056897	0.1827150464
161	0.4852695298	0.182712878
162	0.4853721087	0.1827096561
163	0.4855962571	0.1827060937
164	0.4856962897	0.1827025413
165	0.4860278172	0.1826946979
166	0.4864560097	0.182689367
167	0.4871678777	0.1826822581
168	0.4872163917	0.1826713016
169	0.4874672072	0.1826677972
170	0.4877011343	0.1826606956
171	0.4881557796	0.1826554247
172	0.4884684671	0.1826506033
173	0.4892246094	0.1826428128
174	0.4895106004	0.1826387514
175	0.4896821953	0.1826277626
176	0.4902308997	0.1826214585
177	0.4909622352	0.1826137005
178	0.491265254	0.1826085601
179	0.4916031257	0.1826014704
