iter	Passed	Remaining
0	857	2571188
1	1869	2802861
2	2791	2788862
3	3561	2667899
4	4616	2765156
5	5594	2791828
6	6675	2854057
7	7737	2893690
8	8757	2910371
9	9741	2912846
10	10678	2901751
11	11714	2916975
12	12774	2935139
13	13833	2950532
14	14724	2930103
15	15430	2877800
16	16473	2890700
17	17300	2866194
18	18108	2841199
19	19045	2837786
20	20090	2850017
21	21012	2844342
22	22066	2856211
23	22965	2847774
24	24157	2874737
25	25194	2881842
26	26269	2892573
27	27428	2911340
28	28546	2924588
29	29259	2896727
30	30424	2913864
31	31097	2884248
32	32180	2893351
33	33275	2902839
34	34343	2909413
35	35405	2915041
36	36445	2918566
37	37581	2929415
38	38645	2934072
39	39824	2947042
40	40944	2954960
41	41872	2948988
42	42799	2943182
43	43913	2950173
44	44911	2949186
45	45505	2922215
46	46573	2926182
47	47603	2927604
48	48641	2929405
49	49561	2924145
50	50289	2907904
51	51385	2913176
52	52571	2923149
53	53578	2923010
54	54654	2926516
55	55633	2924719
56	56761	2930683
57	57756	2929647
58	58790	2930550
59	59800	2930213
60	60910	2934683
61	62116	2943521
62	63227	2947593
63	64286	2949129
64	65322	2949576
65	66318	2948136
66	67282	2945360
67	68351	2947155
68	69312	2944267
69	70361	2945150
70	71393	2945251
71	72565	2950994
72	73102	2931127
73	74238	2935419
74	75402	2940681
75	76625	2948074
76	77796	2953217
77	78858	2954162
78	79470	2938380
79	80458	2936724
80	81608	2940918
81	82717	2943516
82	83906	2948854
83	84831	2944854
84	85983	2948736
85	86993	2947653
86	87672	2935531
87	89022	2945850
88	90281	2952909
89	91491	2958219
90	92649	2961732
91	93891	2967786
92	94379	2950106
93	95659	2957305
94	96831	2961008
95	98022	2965173
96	98777	2956198
97	100117	2964692
98	101319	2968973
99	102545	2973833
100	103348	2966421
101	104253	2962012
102	105575	2969451
103	106521	2966208
104	107343	2959614
105	108530	2963095
106	109933	2972303
107	111100	2975014
108	112073	2972518
109	112904	2966320
110	113997	2967024
111	115274	2972444
112	116040	2964677
113	117165	2966127
114	118099	2962758
115	119086	2960728
116	120276	2963726
117	121229	2960883
118	122419	2963789
119	123534	2964820
120	124546	2963393
121	125585	2962590
122	126513	2959170
123	127525	2957770
124	128791	2962203
125	129649	2957253
126	130471	2951537
127	131531	2951227
128	133022	2960523
129	134213	2963021
130	135242	2961923
131	136248	2960299
132	137175	2957004
133	138090	2953495
134	139122	2952482
135	140370	2956042
136	141526	2957604
137	142540	2956171
138	143674	2957214
139	144766	2957380
140	145910	2958574
141	146744	2953495
142	147908	2955074
143	148714	2949498
144	149663	2946816
145	150705	2945984
146	151765	2945496
147	152903	2946497
148	153829	2943417
149	154939	2943857
150	156111	2945449
151	157057	2942754
152	158091	2941737
153	159508	2947806
154	160893	2953166
155	161940	2952297
156	163001	2951671
157	164127	2952223
158	165353	2954517
159	166402	2953635
160	167522	2954014
161	168747	2956201
162	169943	2957854
163	171125	2959222
164	172264	2959823
165	173231	2957455
166	174398	2958500
167	175541	2959126
168	176498	2956605
169	177553	2955748
170	178669	2955885
171	179789	2956081
172	180837	2955075
173	181846	2953444
174	182991	2953998
175	184134	2954523
176	185200	2953795
177	186402	2955213
178	187279	2951478
179	188582	2954457
180	189689	2954332
181	190894	2955717
182	191972	2955125
183	193304	2958401
184	194283	2956254
185	195483	2957478
186	196589	2957252
187	197518	2954365
188	198671	2954840
189	199651	2952745
190	200721	2951977
191	201954	2953581
192	203131	2954347
193	203452	2942715
194	204607	2943204
195	205742	2943379
196	206795	2942371
197	207890	2941967
198	208812	2939114
199	209679	2935511
200	210761	2934930
